                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0953,                0.40329,                0.82871,                  2.236,              0.0033134,              0.0033134,              0.0033134
                      2,                 1.6782,                0.30259,                0.77553,                  2.286,              0.0066028,              0.0066028,              0.0066028
                      3,                 1.6274,                0.33271,                0.84612,                 2.2456,              0.0098483,              0.0098483,              0.0098483
                      4,                 1.6079,                0.34824,                0.79576,                 2.2293,               0.009802,               0.009802,               0.009802
                      5,                 1.5237,                0.39765,                0.81459,                 2.2076,               0.009802,               0.009802,               0.009802
                      6,                 1.4711,                0.47529,                0.87765,                  2.135,               0.009736,               0.009736,               0.009736
                      7,                 1.4438,                0.40988,                0.87294,                 2.1789,                0.00967,                0.00967,                0.00967
                      8,                 1.4223,                0.50682,                  0.904,                 2.1304,               0.009604,               0.009604,               0.009604
                      9,                 1.3937,                0.47624,                0.88941,                 2.1476,               0.009538,               0.009538,               0.009538
                     10,                 1.3798,                0.43294,                0.86447,                  2.185,               0.009472,               0.009472,               0.009472
                     11,                  1.356,                0.47247,                0.89082,                  2.149,               0.009406,               0.009406,               0.009406
                     12,                 1.3424,                0.54541,                0.92565,                 2.0913,                0.00934,                0.00934,                0.00934
                     13,                 1.3273,                0.51859,                0.90024,                 2.1048,               0.009274,               0.009274,               0.009274
                     14,                 1.3229,                0.48141,                0.89459,                 2.1259,               0.009208,               0.009208,               0.009208
                     15,                 1.2958,                0.48753,                0.89647,                 2.1507,               0.009142,               0.009142,               0.009142
                     16,                 1.2841,                0.50165,                0.92706,                 2.1043,               0.009076,               0.009076,               0.009076
                     17,                 1.2677,                0.53835,                0.91294,                 2.0924,                0.00901,                0.00901,                0.00901
                     18,                 1.2668,                0.55624,                0.94588,                 2.0595,               0.008944,               0.008944,               0.008944
                     19,                 1.2459,                0.55671,                0.93412,                 2.0732,               0.008878,               0.008878,               0.008878
                     20,                 1.2289,                0.54259,                0.94071,                  2.079,               0.008812,               0.008812,               0.008812
                     21,                  1.223,                0.55624,                0.94635,                 2.0861,               0.008746,               0.008746,               0.008746
                     22,                  1.213,                0.54918,                0.93882,                 2.0554,                0.00868,                0.00868,                0.00868
                     23,                 1.2063,                0.55294,                0.93459,                 2.0695,               0.008614,               0.008614,               0.008614
                     24,                 1.1868,                0.58165,                  0.952,                 2.0519,               0.008548,               0.008548,               0.008548
                     25,                 1.1827,                0.56424,                0.94353,                 2.0647,               0.008482,               0.008482,               0.008482
                     26,                 1.1665,                0.57929,                0.94871,                 2.0638,               0.008416,               0.008416,               0.008416
                     27,                 1.1531,                  0.584,                0.95012,                 2.0387,                0.00835,                0.00835,                0.00835
                     28,                 1.1332,                0.59718,                0.96424,                 2.0395,               0.008284,               0.008284,               0.008284
                     29,                 1.1186,                0.59482,                0.95106,                 2.0362,               0.008218,               0.008218,               0.008218
                     30,                 1.1043,                0.59388,                0.95765,                 2.0325,               0.008152,               0.008152,               0.008152
                     31,                 1.0841,                0.60471,                0.95671,                 2.0129,               0.008086,               0.008086,               0.008086
                     32,                 1.0781,                0.60329,                0.96188,                  2.014,                0.00802,                0.00802,                0.00802
                     33,                 1.0543,                0.61129,                0.96376,                  2.004,               0.007954,               0.007954,               0.007954
                     34,                 1.0292,                0.60329,                0.96659,                  2.015,               0.007888,               0.007888,               0.007888
                     35,                0.99748,                0.59388,                0.95718,                 2.0215,               0.007822,               0.007822,               0.007822
                     36,                0.98188,                0.59388,                0.96612,                 1.9982,               0.007756,               0.007756,               0.007756
                     37,                0.96346,                0.62871,                0.97082,                 1.9744,                0.00769,                0.00769,                0.00769
                     38,                0.93514,                0.62447,                0.96471,                 1.9708,               0.007624,               0.007624,               0.007624
                     39,                0.90403,                   0.64,                0.97129,                  1.975,               0.007558,               0.007558,               0.007558
                     40,                 0.8495,                0.63529,                0.96988,                 1.9658,               0.007492,               0.007492,               0.007492
                     41,                0.83833,                0.65553,                0.97318,                 1.9475,               0.007426,               0.007426,               0.007426
                     42,                0.79813,                0.66165,                0.97459,                 1.9442,                0.00736,                0.00736,                0.00736
                     43,                 0.7624,                0.65412,                0.97365,                 1.9548,               0.007294,               0.007294,               0.007294
                     44,                0.71493,                0.66682,                0.97129,                  1.933,               0.007228,               0.007228,               0.007228
                     45,                0.70868,                  0.656,                0.97224,                 1.9503,               0.007162,               0.007162,               0.007162
                     46,                0.68954,                0.67529,                0.97271,                 1.9149,               0.007096,               0.007096,               0.007096
                     47,                0.62249,                0.66729,                0.97459,                 1.9153,                0.00703,                0.00703,                0.00703
                     48,                0.58307,                0.68282,                0.97318,                 1.9061,               0.006964,               0.006964,               0.006964
                     49,                0.59675,                0.67859,                0.97365,                 1.8988,               0.006898,               0.006898,               0.006898
                     50,                0.57996,                0.68659,                0.96894,                 1.8969,               0.006832,               0.006832,               0.006832
                     51,                0.52371,                0.68188,                0.97082,                 1.8914,               0.006766,               0.006766,               0.006766
                     52,                0.47707,                0.68894,                0.97129,                 1.8801,                 0.0067,                 0.0067,                 0.0067
                     53,                0.45187,                0.68941,                0.96847,                 1.8829,               0.006634,               0.006634,               0.006634
                     54,                0.47147,                0.68282,                  0.968,                 1.8778,               0.006568,               0.006568,               0.006568
                     55,                0.42462,                0.67859,                0.96659,                 1.8817,               0.006502,               0.006502,               0.006502
                     56,                0.42576,                0.67953,                0.96518,                 1.8783,               0.006436,               0.006436,               0.006436
                     57,                 0.3971,                0.68235,                0.96471,                 1.8798,                0.00637,                0.00637,                0.00637
                     58,                0.35804,                0.67718,                0.96518,                 1.8783,               0.006304,               0.006304,               0.006304
                     59,                0.31982,                0.67718,                  0.968,                 1.8693,               0.006238,               0.006238,               0.006238
                     60,                 0.3245,                0.68376,                0.96565,                 1.8719,               0.006172,               0.006172,               0.006172
                     61,                0.31467,                0.68188,                0.96188,                 1.8721,               0.006106,               0.006106,               0.006106
                     62,                0.31019,                0.67765,                0.96706,                 1.8687,                0.00604,                0.00604,                0.00604
                     63,                 0.3042,                0.67012,                0.96471,                 1.8744,               0.005974,               0.005974,               0.005974
                     64,                0.26466,                0.67435,                0.96141,                 1.8729,               0.005908,               0.005908,               0.005908
                     65,                0.25811,                0.66871,                0.96235,                 1.8736,               0.005842,               0.005842,               0.005842
                     66,                0.25102,                0.66682,                0.96188,                  1.872,               0.005776,               0.005776,               0.005776
                     67,                0.21487,                0.67012,                0.96282,                  1.865,                0.00571,                0.00571,                0.00571
                     68,                0.19639,                  0.672,                0.96235,                 1.8683,               0.005644,               0.005644,               0.005644
                     69,                0.18731,                0.67341,                0.96047,                 1.8677,               0.005578,               0.005578,               0.005578
                     70,                0.17412,                0.66871,                0.96329,                 1.8687,               0.005512,               0.005512,               0.005512
                     71,                0.16521,                0.66776,                0.96094,                 1.8669,               0.005446,               0.005446,               0.005446
                     72,                0.15883,                0.66635,                0.96188,                 1.8677,                0.00538,                0.00538,                0.00538
                     73,                0.17288,                0.66353,                0.96188,                 1.8674,               0.005314,               0.005314,               0.005314
