epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.0497,2.13108,0.39341,0.82306,2.22308,0.00331155,0.00331155,0.00331155
2,116.369,1.91833,0.30494,0.81741,2.28311,0.00660169,0.00660169,0.00660169
3,174.133,1.86414,0.39294,0.84612,2.21486,0.0098485,0.0098485,0.0098485
4,231.643,1.8456,0.41929,0.87247,2.21608,0.009805,0.009805,0.009805
5,289.062,1.77607,0.37506,0.85176,2.21594,0.00974,0.00974,0.00974
6,348.322,1.73571,0.30353,0.78918,2.23498,0.009675,0.009675,0.009675
7,405.426,1.73903,0.40376,0.86588,2.21026,0.00961,0.00961,0.00961
8,463.458,1.706,0.41271,0.87247,2.18067,0.009545,0.009545,0.009545
9,520.551,1.66487,0.47859,0.90588,2.14828,0.00948,0.00948,0.00948
10,577.296,1.64551,0.44235,0.85318,2.17668,0.009415,0.009415,0.009415
11,634.948,1.66512,0.44094,0.90588,2.16472,0.00935,0.00935,0.00935
12,691.113,1.67279,0.47718,0.90024,2.15178,0.009285,0.009285,0.009285
13,750.404,1.58549,0.45271,0.89365,2.16729,0.00922,0.00922,0.00922
14,808.228,1.63319,0.48376,0.90165,2.15798,0.009155,0.009155,0.009155
15,866.701,1.59912,0.46541,0.88894,2.16094,0.00909,0.00909,0.00909
16,923.438,1.59306,0.48612,0.87482,2.15658,0.009025,0.009025,0.009025
17,980.959,1.59619,0.48894,0.91624,2.14117,0.00896,0.00896,0.00896
18,1038.13,1.60853,0.46306,0.90447,2.14497,0.008895,0.008895,0.008895
19,1095.68,1.54414,0.49035,0.90824,2.14904,0.00883,0.00883,0.00883
20,1154.42,1.55621,0.50165,0.91529,2.13104,0.008765,0.008765,0.008765
21,1211.76,1.59372,0.48612,0.91529,2.14195,0.0087,0.0087,0.0087
22,1271.42,1.51552,0.47247,0.91435,2.13415,0.008635,0.008635,0.008635
23,1328.07,1.55051,0.50071,0.91953,2.1116,0.00857,0.00857,0.00857
24,1385.66,1.56303,0.51482,0.90447,2.13023,0.008505,0.008505,0.008505
25,1442.53,1.5547,0.50918,0.91624,2.10696,0.00844,0.00844,0.00844
26,1499.3,1.55603,0.49271,0.91388,2.11778,0.008375,0.008375,0.008375
27,1557.28,1.52051,0.50682,0.90776,2.11842,0.00831,0.00831,0.00831
28,1613.56,1.51939,0.49365,0.91529,2.12243,0.008245,0.008245,0.008245
29,1672.38,1.55308,0.50024,0.92282,2.12235,0.00818,0.00818,0.00818
30,1729.85,1.58348,0.51906,0.91953,2.10204,0.008115,0.008115,0.008115
31,1787.06,1.50304,0.52894,0.92329,2.09803,0.00805,0.00805,0.00805
32,1843.65,1.53261,0.51247,0.92329,2.08752,0.007985,0.007985,0.007985
33,1900.61,1.48297,0.52047,0.92659,2.10535,0.00792,0.00792,0.00792
34,1958.61,1.50117,0.52612,0.91812,2.11359,0.007855,0.007855,0.007855
35,2015.68,1.50615,0.54965,0.92376,2.09917,0.00779,0.00779,0.00779
36,2075.27,1.47935,0.53459,0.928,2.10007,0.007725,0.007725,0.007725
37,2131.46,1.46727,0.54259,0.92376,2.08617,0.00766,0.00766,0.00766
38,2189.03,1.57175,0.53506,0.92659,2.08849,0.007595,0.007595,0.007595
39,2246.08,1.53111,0.53553,0.93506,2.10507,0.00753,0.00753,0.00753
40,2303.82,1.50743,0.54306,0.93224,2.09167,0.007465,0.007465,0.007465
41,2362.5,1.494,0.55106,0.93506,2.08741,0.0074,0.0074,0.0074
42,2420.87,1.54824,0.55012,0.93788,2.09458,0.007335,0.007335,0.007335
